Number Attribute Specialty Credit CreditGroup Term      
10610183 1 4 3 0 1
10610193 1 4 3 0 2
10610204 1 4 4 0 3
10610224 1 4 4 0 4
10720011 1 4 1 0 1
10720021 1 4 1 0 2
10720031 1 4 1 0 3
10720041 1 4 1 0 4
10720110 1 4 0 0 5
10720120 1 4 0 0 6
30720212 1 4 2 0 1
30720222 1 4 2 0 2
30720232 1 4 2 0 3
30720242 1 4 2 0 4
30720252 1 4 2 0 5
30720262 1 4 2 0 6
00640192 2 4 2 2 1,2,3,4
00640212 2 4 2 2 1,2,3,4
00640242 2 4 2 2 1,2,3,4
00640252 2 4 2 2 1,2,3,4
00640272 2 4 2 2 1,2,3,4
00640312 2 4 2 2 1,2,3,4
00640562 2 4 2 2 1,2,3,4
00640862 2 4 2 2 1,2,3,4
00640962 2 4 2 2 1,2,3,4
00640972 2 4 2 2 1,2,3,4
00641022 2 4 2 2 1,2,3,4
00641132 2 4 2 2 1,2,3,4
00641302 2 4 2 2 1,2,3,4
00641332 2 4 2 2 1,2,3,4
00641382 2 4 2 2 1,2,3,4
00641442 2 4 2 2 1,2,3,4
00641452 2 4 2 2 1,2,3,4
00641502 2 4 2 2 1,2,3,4
00641552 2 4 2 2 1,2,3,4
00641603 2 4 2 2 1,2,3,4
00641632 2 4 2 2 1,2,3,4
00641642 2 4 2 2 1,2,3,4
00641662 2 4 2 2 1,2,3,4
00641672 2 4 2 2 1,2,3,4
00641682 2 4 2 2 1,2,3,4
00641713 2 4 3 2 1,2,3,4
00641731 2 4 1 2 1,2,3,4
00641752 2 4 2 2 1,2,3,4
00641772 2 4 2 2 1,2,3,4
00641793 2 4 3 2 1,2,3,4
00641803 2 4 3 2 1,2,3,4
00641813 2 4 3 2 1,2,3,4
00641842 2 4 2 2 1,2,3,4
00641852 2 4 2 2 1,2,3,4
00641862 2 4 2 2 1,2,3,4
00641883 2 4 3 2 1,2,3,4
00641892 2 4 2 2 1,2,3,4
00641903 2 4 3 2 1,2,3,4
10640352 2 4 2 2 1,2,3,4
10640532 2 4 2 2 1,2,3,4
10640682 2 4 2 2 1,2,3,4
10640982 2 4 2 2 1,2,3,4
10640992 2 4 2 2 1,2,3,4
10641012 2 4 2 2 1,2,3,4
10641022 2 4 2 2 1,2,3,4
10641032 2 4 2 2 1,2,3,4
10641042 2 4 2 2 1,2,3,4
10641052 2 4 2 2 1,2,3,4
10641062 2 4 2 2 1,2,3,4
10641072 2 4 2 2 1,2,3,4
10641082 2 4 2 2 1,2,3,4
10641092 2 4 2 2 1,2,3,4
10641102 2 4 2 2 1,2,3,4
10641132 2 4 2 2 1,2,3,4
10641142 2 4 2 2 1,2,3,4
10641172 2 4 2 2 1,2,3,4
10641182 2 4 2 2 1,2,3,4
10641192 2 4 2 2 1,2,3,4
10641202 2 4 2 2 1,2,3,4
10641232 2 4 2 2 1,2,3,4
10641354 2 4 4 2 1,2,3,4
10641482 2 4 2 2 1,2,3,4
10641492 2 4 2 2 1,2,3,4
10641502 2 4 2 2 1,2,3,4
10641512 2 4 2 2 1,2,3,4
10641522 2 4 2 2 1,2,3,4
10641532 2 4 2 2 1,2,3,4
30640032 2 4 2 2 1,2,3,4
30640102 2 4 2 2 1,2,3,4
30640112 2 4 2 2 1,2,3,4
30640122 2 4 2 2 1,2,3,4
30640132 2 4 2 2 1,2,3,4
30640162 2 4 2 2 1,2,3,4
30640182 2 4 2 2 1,2,3,4
30640192 2 4 2 2 1,2,3,4
30640262 2 4 2 2 1,2,3,4
30640294 2 4 4 2 1,2,3,4
30640304 2 4 4 2 1,2,3,4
30640312 2 4 2 2 1,2,3,4
30641082 2 4 2 2 1,2,3,4
30641122 2 4 2 2 1,2,3,4
30641182 2 4 2 2 1,2,3,4
30641222 2 4 2 2 1,2,3,4
30641252 2 4 2 2 1,2,3,4
30641312 2 4 2 2 1,2,3,4
30641322 2 4 2 2 1,2,3,4
30641484 2 4 4 2 1,2,3,4
30641494 2 4 4 2 1,2,3,4
30641514 2 4 4 2 1,2,3,4
30641524 2 4 4 2 1,2,3,4
30641534 2 4 4 2 1,2,3,4
30641544 2 4 4 2 1,2,3,4
30641572 2 4 2 2 1,2,3,4
30641582 2 4 2 2 1,2,3,4
30641592 2 4 2 2 1,2,3,4
30641634 2 4 4 2 1,2,3,4
30641652 2 4 2 2 1,2,3,4
30641662 2 4 2 2 1,2,3,4
30641684 2 4 4 2 1,2,3,4
30641702 2 4 2 2 1,2,3,4
30641712 2 4 2 2 1,2,3,4
30641734 2 4 4 2 1,2,3,4
30641752 2 4 2 2 1,2,3,4
30641763 2 4 3 2 1,2,3,4
30641773 2 4 3 2 1,2,3,4
30641784 2 4 4 2 1,2,3,4
30641794 2 4 4 2 1,2,3,4
30641813 2 4 3 2 1,2,3,4
30641842 2 4 2 2 1,2,3,4
30641852 2 4 2 2 1,2,3,4
30641862 2 4 2 2 1,2,3,4
30641883 2 4 3 2 1,2,3,4
40640022 2 4 2 2 1,2,3,4
40640052 2 4 2 2 1,2,3,4
40640082 2 4 2 2 1,2,3,4
40640582 2 4 2 2 1,2,3,4
40640682 2 4 2 2 1,2,3,4
40640712 2 4 2 2 1,2,3,4
40640722 2 4 2 2 1,2,3,4
40640732 2 4 2 2 1,2,3,4
40640742 2 4 2 2 1,2,3,4
40640752 2 4 2 2 1,2,3,4
40640772 2 4 2 2 1,2,3,4
40640802 2 4 2 2 1,2,3,4
40640812 2 4 2 2 1,2,3,4
40640852 2 4 2 2 1,2,3,4
40640862 2 4 2 2 1,2,3,4
40640932 2 4 2 2 1,2,3,4
40640962 2 4 2 2 1,2,3,4
40640972 2 4 2 2 1,2,3,4
40641002 2 4 2 2 1,2,3,4
40641112 2 4 2 2 1,2,3,4
40641132 2 4 2 2 1,2,3,4
40641162 2 4 2 2 1,2,3,4
40641172 2 4 2 2 1,2,3,4
40641232 2 4 2 2 1,2,3,4
40641242 2 4 2 2 1,2,3,4
40641343 2 4 3 2 1,2,3,4
40641352 2 4 2 2 1,2,3,4
40641382 2 4 2 2 1,2,3,4
40641392 2 4 2 2 1,2,3,4
40641403 2 4 3 2 1,2,3,4
40641413 2 4 3 2 1,2,3,4
40641423 2 4 3 2 1,2,3,4
40641453 2 4 3 2 1,2,3,4
40641473 2 4 3 2 1,2,3,4
40641492 2 4 2 2 1,2,3,4
40641503 2 4 3 2 1,2,3,4
00640192 2 4 2 3 1,2
00640272 2 4 2 3 1,2
00640312 2 4 2 3 1,2
00640562 2 4 2 3 1,2
00640862 2 4 2 3 1,2
00640962 2 4 2 3 1,2
00640972 2 4 2 3 1,2
00641382 2 4 2 3 1,2
00641442 2 4 2 3 1,2
00641452 2 4 2 3 1,2
00641502 2 4 2 3 1,2
00641552 2 4 2 3 1,2
